truckid,driverid,rdate,miles,gas,mpg
A1,A1,jun13,9217,1914,4.815569488
A1,A1,may13,8769,1892,4.634778013
A1,A1,apr13,14234,3008,4.732047872
A1,A1,mar13,11519,2262,5.09239611
A1,A1,feb13,8676,1596,5.436090226
A1,A1,jan13,10025,1878,5.338125666
A1,A1,dec12,12647,2331,5.425568426
A1,A1,nov12,10214,2054,4.972736125
A1,A1,oct12,10807,2134,5.064198688
A1,A1,sep12,11127,2191,5.078502967
A1,A1,aug12,9754,1967,4.958820539
A1,A1,jul12,12925,2578,5.013576416
A1,A1,jun12,15792,3313,4.766676728
A1,A1,may12,9052,1878,4.820021299
A1,A1,apr12,11062,2150,5.145116279
A1,A1,mar12,13594,2824,4.813739377
A1,A1,feb12,11019,2324,4.741394148
A1,A1,jan12,9222,1902,4.848580442
A1,A1,dec11,8565,1745,4.908309456
A1,A1,nov11,10410,1943,5.357694287
A1,A1,oct11,13450,3047,4.41417788
A1,A1,sep11,10446,2112,4.946022727
A1,A1,aug11,10378,2201,4.715129487
A1,A1,jul11,9014,1598,5.640801001
A1,A1,jun11,9466,2642,3.582891749
A1,A1,may11,14175,2642,5.365253596
A1,A1,apr11,11573,2642,4.380393641
A1,A1,mar11,13055,2642,4.941332324
A1,A1,feb11,14614,2642,5.531415594
A1,A1,jan11,14099,2642,5.336487509
A1,A1,dec10,15174,2642,5.74337623
A1,A1,nov10,10635,2642,4.025359576
A1,A1,oct10,12105,2642,4.581756245
A1,A1,sep10,10130,2642,3.834216503
A1,A1,aug10,11344,2642,4.293716881
A1,A1,jul10,10622,2642,4.020439061
A1,A1,jun10,10747,2642,4.067751703
A1,A1,may10,12976,2642,4.911430734
A1,A1,apr10,13221,2642,5.004163512
A1,A1,mar10,10435,2642,3.949659349
A1,A1,feb10,12839,2642,4.859576079
A1,A1,jan10,8969,2642,3.394776684
A1,A1,dec09,8795,2642,3.328917487
A1,A1,nov09,13668,2642,5.17335352
A1,A1,oct09,12414,2642,4.698713096
A1,A1,sep09,13300,2642,5.034065102
A1,A1,aug09,11698,2642,4.427706283
A1,A1,jul09,14207,2642,5.377365632
A1,A1,jun09,14062,2642,5.322482967
A1,A1,may09,12073,2642,4.569644209
A1,A1,apr09,15276,2642,5.781983346
A1,A1,mar09,9880,2642,3.739591219
A1,A1,feb09,13861,2642,5.246404239
A1,A1,jan09,11176,2642,4.23012869
A2,A2,jun13,12058,2335,5.164025696
A2,A2,may13,14314,2648,5.405589124
A2,A2,apr13,11050,2323,4.756780026
A2,A2,mar13,14114,3157,4.470700032
A2,A2,feb13,13583,2346,5.789855072
A2,A2,jan13,15362,3353,4.581568744
A2,A2,dec12,13608,2607,5.219792865
A2,A2,nov12,11236,2597,4.326530612
A2,A2,oct12,11380,1939,5.869004642
A2,A2,sep12,12934,2324,5.565404475
A2,A2,aug12,11848,2301,5.149065624
A2,A2,jul12,13206,3114,4.240847784
A2,A2,jun12,15316,3344,4.580143541
A2,A2,may12,13838,2718,5.091243561
A2,A2,apr12,12024,2800,4.294285714
A2,A2,mar12,12693,2329,5.449978532
A2,A2,feb12,14392,2929,4.913622397
A2,A2,jan12,11134,2290,4.862008734
A2,A2,dec11,13911,2953,4.710802574
A2,A2,nov11,11542,2650,4.355471698
